idAgence,designation,realMaxWaitingTimeMs,coordonneeX,coordonneeY,coordonneeXPrecise,coordonneeYPrecise,position,commune,type,codeESirius,codePostal,lieuDitOuTribu,localite,idRefloc,codePostalRefloc,localiteRefloc,time
4164,Agence de MONT-DORE BOULARI,2249000,453534.2800000012,219434.05000000075,453530,219468,"{'lat': -22.226853497107392, 'lon': 166.51927477410965}",MONT-DORE,AGENCE,site8,98810,,MONT-DORE,05ADNC0117034500230000,98809,MONT-DORE,1672623956.2342663
4318,Agence de PAITA,244000,438030.2924000025,230183.5451999996,438030,230176,"{'lat': -22.1301720079482, 'lon': 166.36864312590276}",PAITA,AGENCE,site10,98890,VILLAGE DE PAITA,PAITA,TMP38630,98889,PAITA,1672623956.2969422
4319,Agence de POINDIMIE,0,330479.95539999753,362093.4367999993,330475,362106,"{'lat': -20.937791961312012, 'lon': 165.33158399082174}",POINDIMIE,AGENCE,site15,98822,VILLAGE DE POINDIMIE,POINDIMIE,TMP05040,98822,POINDIMIE,1672623956.3631148
4155,Agence de HIENGHENE,0,289935.32559999824,389295.4152000006,289950,389308,"{'lat': -20.690072436393475, 'lon': 164.94353576136334}",HIENGHENE,AGENCE,site44,98815,VILLAGE DE HIENGHENE,HIENGHENE,TMP21483,98815,HIENGHENE,1672623956.4244719
1651,Agence de NOUMEA DUCOS CENTRE,0,446072.450000003,218361.16999999993,446189,218403,"{'lat': -22.236750788487875, 'lon': 166.44692628074105}",NOUMEA,AGENCE,site17,98841,,NOUMEA CEDEX,05ADNC0118087700300000,98800,NOUMEA,1672623956.4841204
4309,Agence de MARE LA ROCHE,0,610437.1373689548,301350.77827368566,610869,301546,"{'lat': -21.475452867857534, 'lon': 168.03078031606364}",MARE,ANNEXE,site41,98878,La Roche,LA ROCHE,04TBNC0115023000000000,98828,MARE,1672623956.5467918
4171,Agence de PONERIHOUEN,0,338074.876000002,347237.5423000008,338067,347248,"{'lat': -21.072256253739383, 'lon': 165.40406179585077}",PONERIHOUEN,AGENCE,site47,98823,VILLAGE DE PONERIHOUEN,PONERIHOUEN,TMP19844,98823,PONERIHOUEN,1672623956.609323
4326,Agence de VOH,134000,263699.49930000305,360315.82239999995,263706,360314,"{'lat': -20.950030051101255, 'lon': 164.68938779467402}",VOH,AGENCE,site35,98833,VOH VILLAGE RIVE DROITE,VOH,TMP26404,98833,VOH,1672623956.6808593
4170,Agence de NOUMEA VALLEE DES COLONS,0,446756.5099999979,214629.00999999978,446751,214630,"{'lat': -22.270437419422873, 'lon': 166.4536670402177}",NOUMEA,ANNEXE,site21,98841,,NOUMEA CEDEX,05ADNC0118058700540000,98800,NOUMEA,1672623956.741793
4310,Agence de MOINDOU,0,367105.9452000037,278873.54089999944,366555,278703,"{'lat': -21.690519046609122, 'lon': 165.68210414425718}",MOINDOU,ANNEXE,null,98819,VILLAGE DE MOINDOU,MOINDOU,TMP22241,98819,MOINDOU,1672624257.6010492
4176,Centre de Distribution du Courrier,0,445672.8500000015,214091.58000000007,445706,214091,"{'lat': -22.275318886068586, 'lon': 166.4431673905479}",NOUMEA,CDC,null,98841,,NOUMEA CEDEX,05ADNC0118049900070000,98800,NOUMEA,1672624257.6629488
4304,Agence de HOUAILOU PORO,0,369911.0024000034,321999.9923999999,369919,322003,"{'lat': -21.301032130392553, 'lon': 165.709986020355}",HOUAILOU,ANNEXE,null,98838,PORO Poro,PORO,TMP22297,98816,HOUAILOU,1672624257.7264013
9502,TOMO SERVICES,0,414695.3241999969,249399.27869999968,0,0,"{'lat': -21.956970675239912, 'lon': 166.14227846402935}",BOULOUPARIS,POINT_RELAIS,,98812,VILLAGE DE TOMO,BOULOUPARIS,TMP19891,98812,BOULOUPARIS,1672624257.7883646
14051,AGENCE COMPTABLE - CAVEAU,0,445672.8500000015,214091.58000000007,0,0,"{'lat': -22.275318886068586, 'lon': 166.4431673905479}",NOUMEA,AGENCE,,98841,,NOUMEA CEDEX,05ADNC0118049900070000,98800,NOUMEA,1672624257.8644354
4157,Agence de KAALA-GOMEN,0,232992.7819999978,391297.13709999993,232994,391299,"{'lat': -20.66761813427862, 'lon': 164.39719714705936}",KAALA-GOMEN,AGENCE,site26,98817,VILLAGE DE KAALA-GOMEN,KAALA-GOMEN,TMP16453,98817,KAALA-GOMEN,1672624257.9230154
4166,Agence de NOUMEA BELLE VIE,172000,448361.8299999982,217435.73000000045,448394,217405,"{'lat': -22.245047717612426, 'lon': 166.46916124721352}",NOUMEA,AGENCE,site5,98841,,NOUMEA CEDEX,05ADNC0118058302240000,98800,NOUMEA,1672624257.9944391
4305,Agence de KONE,0,281805.8500000015,348277.6640000008,281806,348304,"{'lat': -21.060043624962425, 'lon': 164.8626425985369}",KONE,AGENCE,site13,98860,,KONE,05ADNC0211000300230000,98859,KONE,1672624258.0555663
4308,Agence de MARE TADINE,0,594845.5265860267,293680.7009438409,594555,293401,"{'lat': -21.54648900518961, 'lon': 167.88122247551448}",TADINE,AGENCE,site32,98828,Tadine,TADINE,04TBNC0115076000000000,98828,TADINE,1672624258.1146328
4320,Agence de POUEBO,0,252550.51139999926,421279.5957999993,252512,421318,"{'lat': -20.39852709831761, 'lon': 164.5874857417392}",POUEBO,AGENCE,site49,98824,POUEBO - OUBATCHE,POUEBO,TMP16824,98824,POUEBO,1672624258.1749177
4165,Agence de MONT-DORE PONT DES FRANCAIS,10054000,450123.6199999973,220029.22000000067,450112,220042,"{'lat': -22.22157763419991, 'lon': 166.48617413176544}",MONT-DORE,ANNEXE,site37,98874,,PONT DES FRANCAIS,05ADNC0117042801070000,98809,MONT-DORE,1672624258.236578
4159,Agence de KOUAOUA,0,382030.45589999855,311535.2644999996,382030,311535,"{'lat': -21.395717746912663, 'lon': 165.82668789444932}",KOUAOUA,AGENCE,site27,98818,Amon-Kasiori,KOUAOUA,TMP17474,98818,KOUAOUA,1672624258.2969866
4169,Agence de NOUMEA SUD N'GEA,0,446772.5099999979,212851.24000000022,446756,212855,"{'lat': -22.28649155924961, 'lon': 166.4538723643038}",NOUMEA,ANNEXE,site4,98841,,NOUMEA CEDEX,05ADNC0118070200280000,98800,NOUMEA,1672624258.365056
4167,Agence de NOUMEA RIVIERE SALEE,92000,447954.6300000027,218612.65000000037,447896,218697,"{'lat': -22.234430118754165, 'lon': 166.46517702264256}",NOUMEA,AGENCE,site11,98841,,NOUMEA CEDEX,05ADNC0118008000530000,98800,NOUMEA,1672624258.4283562
4174,Agence de POYA NEPOUI,0,295883.76860000193,318618.83689999953,295879,318614,"{'lat': -21.328805703187765, 'lon': 164.9962750251148}",POYA,ANNEXE,site43,98877,VILLAGE DE NEPOUI,NEPOUI,TMP02858,98827,POYA,1672624258.4974804
4151,Agence de BELEP,0,155586.6393999979,492029.61730000004,153370,496078,"{'lat': -19.749132616002665, 'lon': 163.6688230007959}",BELEP,AGENCE,site48,98811,null,BELEP,01AGNC0201983040000000,98811,BELEP,1672624258.560927
4175,Agence de THIO,166000,422306.3306000009,287718.6599000003,422314,287719,"{'lat': -21.610790930488918, 'lon': 166.21545595354644}",THIO,AGENCE,site33,98829,VILLAGE DE THIO,THIO,TMP13085,98829,THIO,1672624258.6263459
4163,Agence de L'ILE DES PINS VAO,0,553736.0077026911,170043.79435824222,553705,170475,"{'lat': -22.667016599892047, 'lon': 167.49576095767006}",ILE DES PINS,AGENCE,site34,98832,Vao,VAO,04TBNC0309176000000000,98832,ILE DES PINS,1672624258.6909044
4152,Agence de BOURAIL,226000,348020.3840999976,292310.1236000005,348020,292310,"{'lat': -21.56870438658617, 'lon': 165.4980747732025}",BOURAIL,AGENCE,site16,98870,MARAICHERS,BOURAIL,TMP06833,98870,BOURAIL,1672624258.7565422
4312,Agence de MONT-DORE PLUM,0,464206.8599999994,214240.5700000003,464233,214256,"{'lat': -22.273402633709637, 'lon': 166.62299701139187}",MONT-DORE,ANNEXE,null,98875,,PLUM,05ADNC0117042790480000,98809,MONT-DORE,1672624258.820623
4329,Centre de Distribution du Courrier de DUMBEA,0,446300.1300000027,221711.0700000003,446300,221711,"{'lat': -22.20649225111039, 'lon': 166.44904153815918}",DUMBEA,CDC,null,98835,,DUMBEA,05ADNC0105033002470000,98835,DUMBEA,1672624258.8816726
9504,UREGEI Célène,0,441191.25,215360.49000000022,0,0,"{'lat': -22.263968762237127, 'lon': 166.39965078317329}",NOUMEA,POINT_RELAIS,,98820,,WE,05ADNC0118032600120000,98800,NOUMEA,1672624258.9438903
10851,LAVERIE DES SENTEURS,0,439905.5300000012,226468.01400000043,0,0,"{'lat': -22.163686576300545, 'lon': 166.38690963624717}",PAITA,POINT_RELAIS,,98889,LOTISSEMENT SAVANNAH,PAITA,TMP39985,98889,PAITA,1672624259.0159748
4302,Agence de CANALA,0,396056.4122999981,297966.0706999991,396076,297962,"{'lat': -21.518367004732173, 'lon': 165.96193312345403}",CANALA,AGENCE,site24,98813,LOTISSEMENT F.S.H. CANALA VILLAGE DE CANALA,CANALA,TMP10928,98813,CANALA,1672624259.0799646
4316,Agence de OUVEA FAYAOUE,1196000,455770.66160387173,393702.9166130082,455723,393780,"{'lat': -20.652759156874346, 'lon': 166.53518020595448}",FAYAOUE,AGENCE,site25,98814,Fayaoué,FAYAOUE,04TBNC0320150000000000,98814,FAYAOUE,1672624259.186634
1652,Agence de NOUMEA DUCOS LOGICOOP,0,444446.8500000015,218799.09999999963,444443,218773,"{'lat': -22.23283712929801, 'lon': 166.4311454961512}",NOUMEA,ANNEXE,site19,98841,,NOUMEA CEDEX,05ADNC0118087701390000,98800,NOUMEA,1672624259.2496755
4172,Agence de POUM,0,193612.68999999762,439082.6183000002,193627,439034,"{'lat': -20.231976053501533, 'lon': 164.02508813647802}",POUM,AGENCE,site30,98826,VILLAGE DE POUM Titch,POUM,TMP19402,98826,POUM,1672624259.31066
4325,Agence de TOUHO,0,320388.8338999972,379412.2594000008,320342,379450,"{'lat': -20.78094237321796, 'lon': 165.23537655460837}",TOUHO,AGENCE,site46,98831,TOUHO,TOUHO,TMP16590,98831,TOUHO,1672624259.3738582
4328,Agence ENTREPRISES,1614000,445241.0799999982,214674.68999999948,445244,214646,"{'lat': -22.270063966902732, 'lon': 166.43896202567333}",NOUMEA,AGENCE,site3,98841,,NOUMEA CEDEX,05ADNC0118026600090000,98800,NOUMEA,1672624259.4314055
4317,Agence de OUVEA SAINT JOSEPH,0,462833.137277479,416158.66900178284,462222,416047,"{'lat': -20.44970314654579, 'lon': 166.60212172498558}",FAYAOUE,ANNEXE,null,98814,Eot-Saint-Joseph,FAYAOUE,04TBNC0320272000000000,98814,FAYAOUE,1672624259.4959328
4156,Agence de HOUAILOU,0,361365.1579999998,324462.9104999993,361378,324484,"{'lat': -21.278622063734613, 'lon': 165.62767338173657}",HOUAILOU,AGENCE,site45,98816,VILLAGE DE HOUAILOU,HOUAILOU,TMP22872,98816,HOUAILOU,1672624259.5546188
4321,Agence de POUEMBOUT,304000,285727.2681000009,341271.70109999925,285739,341265,"{'lat': -21.1235779520635, 'lon': 164.89990189362152}",POUEMBOUT,AGENCE,site29,98825,VILLAGE DE POUEMBOUT,POUEMBOUT,TMP25346,98825,POUEMBOUT,1672624259.6241226
4160,Agence de KOUMAC,0,220675.33309999853,403179.29949999973,220697,403132,"{'lat': -20.559118471311272, 'lon': 164.28024771712415}",KOUMAC,AGENCE,site14,98850,VILLAGE DE KOUMAC,KOUMAC,TMP25745,98850,KOUMAC,1672624259.684387
4311,Agence de MONT-DORE LA COULEE,617000,460364.244099997,218156.13260000013,460360,218145,"{'lat': -22.238176220377806, 'lon': 166.5855702851434}",MONT-DORE,ANNEXE,site38,98876,,LA COULEE,05ADNC0117042600150000,98809,MONT-DORE,1672624259.7475362
4168,Agence de NOUMEA SUD,1414000,445967.2199999988,212085.4299999997,445972,212093,"{'lat': -22.29342828672746, 'lon': 166.44607921717136}",NOUMEA,AGENCE,site7,98841,,NOUMEA CEDEX,05ADNC0118034700190000,98800,NOUMEA,1672624259.8064551
4323,Agence de TONTOUTA,0,422331.96350000054,242663.05560000055,0,0,"{'lat': -22.01773035945205, 'lon': 166.21630570516461}",TONTOUTA,AGENCE,site20,98840,Tontouta,TONTOUTA,TMP38259,98840,TONTOUTA,1672624259.8674881
1152,Agence de NOUMEA VALLEE DU TIR,0,445934.3800000027,215750.6400000006,445927,215749,"{'lat': -22.260329590749315, 'lon': 166.4456591312507}",NOUMEA,AGENCE,site12,98841,,NOUMEA CEDEX,05ADNC0118006500030000,98800,NOUMEA,1672624259.9290106
4307,Agence de LIFOU WE,382000,530641.6171218881,364776.7652714543,531533,363947,"{'lat': -20.91015701574535, 'lon': 167.25585640088806}",WE,AGENCE,site36,98820,Qanono Sinoj,WE,04TBNC0314222000000000,98820,WE,1672624259.9899814
1151,Centre de Traitement Postal,0,446400.6599999964,218117.88000000082,446400,218117,"{'lat': -22.238939402080792, 'lon': 166.45011686307052}",NOUMEA,CTC,site6,98808,,NOUMEA CEDEX,05ADNC0118025400150000,98800,NOUMEA,1672624260.0610769
4153,Agence de DUMBEA MAIRIE,0,447275.5600000024,225966.7100000009,447204,225988,"{'lat': -22.1680339427704, 'lon': 166.458380665043}",DUMBEA,ANNEXE,null,98836,,DUMBEA GA,05ADNC0105025407770000,98835,DUMBEA,1672624260.12448
4162,Agence de LIFOU MOU,0,546448.8010640002,344306.6356786418,545726,344454,"{'lat': -21.093832372437117, 'lon': 167.4095771909463}",LIFOU,ANNEXE,null,98885,Mou,MOU,04TBNC0314170000000000,98820,LIFOU,1672624260.1894255
4177,Agence philatélique,0,445672.8500000015,214091.58000000007,0,0,"{'lat': -22.275318886068586, 'lon': 166.4431673905479}",NOUMEA,AGENCE,null,98841,,NOUMEA CEDEX,05ADNC0118049900070000,98800,NOUMEA,1672624260.25053
9501,CASY EXPRESS,0,464452.7899999991,214439.5399999991,0,0,"{'lat': -22.27159692459532, 'lon': 166.6253755132981}",MONT-DORE,POINT_RELAIS,,98809,,MONT-DORE,05ADNC0117030302960000,98809,MONT-DORE,1672624260.3145266
4315,Agence de OUEGOA,0,237294.14660000056,427221.3312999997,237294,427221,"{'lat': -20.34355514425551, 'lon': 164.4419116545726}",OUEGOA,AGENCE,site28,98821,DIAHOT RURAUX,OUEGOA,TMP15081,98821,OUEGOA,1672624260.377287
4303,Agence de DUMBEA KOUTIO,397000,448817.2800000012,221400.5700000003,448806,221407,"{'lat': -22.209229287606103, 'lon': 166.4734630776842}",DUMBEA,AGENCE,site18,98830,,DUMBEA,05ADNC0105002600050000,98835,DUMBEA,1672624260.4909234
4314,Agence de NOUMEA AGENCE PRINCIPALE,420000,445672.8500000015,214091.58000000007,445670,214089,"{'lat': -22.275318886068586, 'lon': 166.4431673905479}",NOUMEA,AGENCE,site1,98841,,NOUMEA CEDEX,05ADNC0118049900070000,98800,NOUMEA,1672624260.5542092
4301,Agence de BOULOUPARIS,0,404963.6297999993,259435.04930000007,404963,259435,"{'lat': -21.866383428528994, 'lon': 166.048027461446}",BOULOUPARIS,AGENCE,site23,98812,VILLAGE DE BOULOUPARIS,BOULOUPARIS,TMP30354,98812,BOULOUPARIS,1672624260.6199818
4154,Agence de DUMBEA PANDA,33000,445265.1799999997,223801.65000000037,445257,223777,"{'lat': -22.187638799495343, 'lon': 166.43894720379834}",DUMBEA,ANNEXE,site39,98839,,DUMBEA,05ADNC0105035800430000,98835,DUMBEA,1672624260.680979
4161,Agence de LIFOU CHEPENEHE,0,519622.07559999824,379050.92530000024,519622,379050,"{'lat': -20.78199418822466, 'lon': 167.14892120270665}",WE,ANNEXE,site42,98884,,CHEPENEHE,01AGNC0314416100000000,98820,WE,1672624260.7433856
4173,Agence de POYA,1091000,312795.9101999998,316715.21869999915,312783,316713,"{'lat': -21.346901218659347, 'lon': 165.15921314842922}",POYA,AGENCE,site31,98827,POYA PATURAGE,POYA,TMP02864,98827,POYA,1672624260.804239
4327,Agence de YATE,0,497210.3995999992,226581.95299999975,497152,226827,"{'lat': -22.160457040926087, 'lon': 166.94250084226374}",YATE,AGENCE,site9,98834,LOTISSEMENT MUNICIPAL DE WAHO TOUAOUROU Wao,YATE,TMP29079,98834,YATE,1672624260.8704298
4313,Agence de NOUMEA MAGENTA,251000,447804.2700000033,214785.02999999933,447800,214786,"{'lat': -22.269000673739068, 'lon': 166.46382864996545}",NOUMEA,AGENCE,site2,98841,,NOUMEA CEDEX,05ADNC0118032900350000,98800,NOUMEA,1672624260.9328287
4306,Agence de LA FOA,0,382333.56809999794,276615.18469999917,382334,276617,"{'lat': -21.711131858208393, 'lon': 165.82924345377498}",LA FOA,AGENCE,site22,98880,VILLAGE DE LA FOA,LA FOA,TMP11292,98880,LA FOA,1672624260.9955735
4324,Agence de TONTOUTA AEROPORT,0,422331.96350000054,242663.05560000055,0,0,"{'lat': -22.01773035945205, 'lon': 166.21630570516461}",TONTOUTA,ANNEXE,null,98840,Tontouta,TONTOUTA,TMP38259,98840,TONTOUTA,1672624261.071194
9503,MINISTERE DE LA DEFENSE NATIONALE,0,446192.0300000012,214224.41999999993,0,0,"{'lat': -22.27410587508129, 'lon': 166.44820131345307}",NOUMEA,AGENCE,null,98843,,NOUMEA CEDEX,05ADNC0118046900020100,98800,NOUMEA,1672624261.1292133
4164,Agence de MONT-DORE BOULARI,2249000,453534.2800000012,219434.05000000075,453530,219468,"{'lat': -22.226853497107392, 'lon': 166.51927477410965}",MONT-DORE,AGENCE,site8,98810,,MONT-DORE,05ADNC0117034500230000,98809,MONT-DORE,1672624261.189367
4318,Agence de PAITA,244000,438030.2924000025,230183.5451999996,438030,230176,"{'lat': -22.1301720079482, 'lon': 166.36864312590276}",PAITA,AGENCE,site10,98890,VILLAGE DE PAITA,PAITA,TMP38630,98889,PAITA,1672624261.2493982
4319,Agence de POINDIMIE,0,330479.95539999753,362093.4367999993,330475,362106,"{'lat': -20.937791961312012, 'lon': 165.33158399082174}",POINDIMIE,AGENCE,site15,98822,VILLAGE DE POINDIMIE,POINDIMIE,TMP05040,98822,POINDIMIE,1672624261.30922
4155,Agence de HIENGHENE,0,289935.32559999824,389295.4152000006,289950,389308,"{'lat': -20.690072436393475, 'lon': 164.94353576136334}",HIENGHENE,AGENCE,site44,98815,VILLAGE DE HIENGHENE,HIENGHENE,TMP21483,98815,HIENGHENE,1672624261.3741102
1651,Agence de NOUMEA DUCOS CENTRE,0,446072.450000003,218361.16999999993,446189,218403,"{'lat': -22.236750788487875, 'lon': 166.44692628074105}",NOUMEA,AGENCE,site17,98841,,NOUMEA CEDEX,05ADNC0118087700300000,98800,NOUMEA,1672624261.4398546
4309,Agence de MARE LA ROCHE,0,610437.1373689548,301350.77827368566,610869,301546,"{'lat': -21.475452867857534, 'lon': 168.03078031606364}",MARE,ANNEXE,site41,98878,La Roche,LA ROCHE,04TBNC0115023000000000,98828,MARE,1672624261.50193
4171,Agence de PONERIHOUEN,0,338074.876000002,347237.5423000008,338067,347248,"{'lat': -21.072256253739383, 'lon': 165.40406179585077}",PONERIHOUEN,AGENCE,site47,98823,VILLAGE DE PONERIHOUEN,PONERIHOUEN,TMP19844,98823,PONERIHOUEN,1672624261.5644379
4326,Agence de VOH,134000,263699.49930000305,360315.82239999995,263706,360314,"{'lat': -20.950030051101255, 'lon': 164.68938779467402}",VOH,AGENCE,site35,98833,VOH VILLAGE RIVE DROITE,VOH,TMP26404,98833,VOH,1672624261.626715
4170,Agence de NOUMEA VALLEE DES COLONS,0,446756.5099999979,214629.00999999978,446751,214630,"{'lat': -22.270437419422873, 'lon': 166.4536670402177}",NOUMEA,ANNEXE,site21,98841,,NOUMEA CEDEX,05ADNC0118058700540000,98800,NOUMEA,1672624261.6851645
4310,Agence de MOINDOU,0,367105.9452000037,278873.54089999944,366555,278703,"{'lat': -21.690519046609122, 'lon': 165.68210414425718}",MOINDOU,ANNEXE,null,98819,VILLAGE DE MOINDOU,MOINDOU,TMP22241,98819,MOINDOU,1672624562.4073825
4176,Centre de Distribution du Courrier,0,445672.8500000015,214091.58000000007,445706,214091,"{'lat': -22.275318886068586, 'lon': 166.4431673905479}",NOUMEA,CDC,null,98841,,NOUMEA CEDEX,05ADNC0118049900070000,98800,NOUMEA,1672624562.47057
4304,Agence de HOUAILOU PORO,0,369911.0024000034,321999.9923999999,369919,322003,"{'lat': -21.301032130392553, 'lon': 165.709986020355}",HOUAILOU,ANNEXE,null,98838,PORO Poro,PORO,TMP22297,98816,HOUAILOU,1672624562.5344965
9502,TOMO SERVICES,0,414695.3241999969,249399.27869999968,0,0,"{'lat': -21.956970675239912, 'lon': 166.14227846402935}",BOULOUPARIS,POINT_RELAIS,,98812,VILLAGE DE TOMO,BOULOUPARIS,TMP19891,98812,BOULOUPARIS,1672624562.5934768
4166,Agence de NOUMEA BELLE VIE,172000,448361.8299999982,217435.73000000045,448394,217405,"{'lat': -22.245047717612426, 'lon': 166.46916124721352}",NOUMEA,AGENCE,site5,98841,,NOUMEA CEDEX,05ADNC0118058302240000,98800,NOUMEA,1672624562.6605182
4305,Agence de KONE,0,281805.8500000015,348277.6640000008,281806,348304,"{'lat': -21.060043624962425, 'lon': 164.8626425985369}",KONE,AGENCE,site13,98860,,KONE,05ADNC0211000300230000,98859,KONE,1672624562.7235622
4157,Agence de KAALA-GOMEN,0,232992.7819999978,391297.13709999993,232994,391299,"{'lat': -20.66761813427862, 'lon': 164.39719714705936}",KAALA-GOMEN,AGENCE,site26,98817,VILLAGE DE KAALA-GOMEN,KAALA-GOMEN,TMP16453,98817,KAALA-GOMEN,1672624562.788026
4320,Agence de POUEBO,0,252550.51139999926,421279.5957999993,252512,421318,"{'lat': -20.39852709831761, 'lon': 164.5874857417392}",POUEBO,AGENCE,site49,98824,POUEBO - OUBATCHE,POUEBO,TMP16824,98824,POUEBO,1672624562.8619792
4165,Agence de MONT-DORE PONT DES FRANCAIS,10054000,450123.6199999973,220029.22000000067,450112,220042,"{'lat': -22.22157763419991, 'lon': 166.48617413176544}",MONT-DORE,ANNEXE,site37,98874,,PONT DES FRANCAIS,05ADNC0117042801070000,98809,MONT-DORE,1672624562.9272938
4159,Agence de KOUAOUA,0,382030.45589999855,311535.2644999996,382030,311535,"{'lat': -21.395717746912663, 'lon': 165.82668789444932}",KOUAOUA,AGENCE,site27,98818,Amon-Kasiori,KOUAOUA,TMP17474,98818,KOUAOUA,1672624562.9914615
4169,Agence de NOUMEA SUD N'GEA,0,446772.5099999979,212851.24000000022,446756,212855,"{'lat': -22.28649155924961, 'lon': 166.4538723643038}",NOUMEA,ANNEXE,site4,98841,,NOUMEA CEDEX,05ADNC0118070200280000,98800,NOUMEA,1672624563.054924
4167,Agence de NOUMEA RIVIERE SALEE,92000,447954.6300000027,218612.65000000037,447896,218697,"{'lat': -22.234430118754165, 'lon': 166.46517702264256}",NOUMEA,AGENCE,site11,98841,,NOUMEA CEDEX,05ADNC0118008000530000,98800,NOUMEA,1672624563.11545
4174,Agence de POYA NEPOUI,0,295883.76860000193,318618.83689999953,295879,318614,"{'lat': -21.328805703187765, 'lon': 164.9962750251148}",POYA,ANNEXE,site43,98877,VILLAGE DE NEPOUI,NEPOUI,TMP02858,98827,POYA,1672624563.173409
4151,Agence de BELEP,0,155586.6393999979,492029.61730000004,153370,496078,"{'lat': -19.749132616002665, 'lon': 163.6688230007959}",BELEP,AGENCE,site48,98811,null,BELEP,01AGNC0201983040000000,98811,BELEP,1672624563.2371576
14051,AGENCE COMPTABLE - CAVEAU,0,445672.8500000015,214091.58000000007,0,0,"{'lat': -22.275318886068586, 'lon': 166.4431673905479}",NOUMEA,AGENCE,,98841,,NOUMEA CEDEX,05ADNC0118049900070000,98800,NOUMEA,1672624563.2998297
4308,Agence de MARE TADINE,0,594845.5265860267,293680.7009438409,594555,293401,"{'lat': -21.54648900518961, 'lon': 167.88122247551448}",TADINE,AGENCE,site32,98828,Tadine,TADINE,04TBNC0115076000000000,98828,TADINE,1672624563.3592367
4175,Agence de THIO,166000,422306.3306000009,287718.6599000003,422314,287719,"{'lat': -21.610790930488918, 'lon': 166.21545595354644}",THIO,AGENCE,site33,98829,VILLAGE DE THIO,THIO,TMP13085,98829,THIO,1672624563.4219115
4163,Agence de L'ILE DES PINS VAO,0,553736.0077026911,170043.79435824222,553705,170475,"{'lat': -22.667016599892047, 'lon': 167.49576095767006}",ILE DES PINS,AGENCE,site34,98832,Vao,VAO,04TBNC0309176000000000,98832,ILE DES PINS,1672624563.4900377
4152,Agence de BOURAIL,226000,348020.3840999976,292310.1236000005,348020,292310,"{'lat': -21.56870438658617, 'lon': 165.4980747732025}",BOURAIL,AGENCE,site16,98870,MARAICHERS,BOURAIL,TMP06833,98870,BOURAIL,1672624563.5515697
4312,Agence de MONT-DORE PLUM,0,464206.8599999994,214240.5700000003,464233,214256,"{'lat': -22.273402633709637, 'lon': 166.62299701139187}",MONT-DORE,ANNEXE,null,98875,,PLUM,05ADNC0117042790480000,98809,MONT-DORE,1672624563.6614604
4329,Centre de Distribution du Courrier de DUMBEA,0,446300.1300000027,221711.0700000003,446300,221711,"{'lat': -22.20649225111039, 'lon': 166.44904153815918}",DUMBEA,CDC,null,98835,,DUMBEA,05ADNC0105033002470000,98835,DUMBEA,1672624563.7200215
9504,UREGEI Célène,0,441191.25,215360.49000000022,0,0,"{'lat': -22.263968762237127, 'lon': 166.39965078317329}",NOUMEA,POINT_RELAIS,,98820,,WE,05ADNC0118032600120000,98800,NOUMEA,1672624563.7862387
10851,LAVERIE DES SENTEURS,0,439905.5300000012,226468.01400000043,0,0,"{'lat': -22.163686576300545, 'lon': 166.38690963624717}",PAITA,POINT_RELAIS,,98889,LOTISSEMENT SAVANNAH,PAITA,TMP39985,98889,PAITA,1672624563.8481581
4302,Agence de CANALA,0,396056.4122999981,297966.0706999991,396076,297962,"{'lat': -21.518367004732173, 'lon': 165.96193312345403}",CANALA,AGENCE,site24,98813,LOTISSEMENT F.S.H. CANALA VILLAGE DE CANALA,CANALA,TMP10928,98813,CANALA,1672624563.9167004
4316,Agence de OUVEA FAYAOUE,1196000,455770.66160387173,393702.9166130082,455723,393780,"{'lat': -20.652759156874346, 'lon': 166.53518020595448}",FAYAOUE,AGENCE,site25,98814,Fayaoué,FAYAOUE,04TBNC0320150000000000,98814,FAYAOUE,1672624563.9756823
1652,Agence de NOUMEA DUCOS LOGICOOP,0,444446.8500000015,218799.09999999963,444443,218773,"{'lat': -22.23283712929801, 'lon': 166.4311454961512}",NOUMEA,ANNEXE,site19,98841,,NOUMEA CEDEX,05ADNC0118087701390000,98800,NOUMEA,1672624564.0399709
4172,Agence de POUM,0,193612.68999999762,439082.6183000002,193627,439034,"{'lat': -20.231976053501533, 'lon': 164.02508813647802}",POUM,AGENCE,site30,98826,VILLAGE DE POUM Titch,POUM,TMP19402,98826,POUM,1672624564.0986712
4325,Agence de TOUHO,0,320388.8338999972,379412.2594000008,320342,379450,"{'lat': -20.78094237321796, 'lon': 165.23537655460837}",TOUHO,AGENCE,site46,98831,TOUHO,TOUHO,TMP16590,98831,TOUHO,1672624564.156825
4328,Agence ENTREPRISES,1614000,445241.0799999982,214674.68999999948,445244,214646,"{'lat': -22.270063966902732, 'lon': 166.43896202567333}",NOUMEA,AGENCE,site3,98841,,NOUMEA CEDEX,05ADNC0118026600090000,98800,NOUMEA,1672624564.2178955
4317,Agence de OUVEA SAINT JOSEPH,0,462833.137277479,416158.66900178284,462222,416047,"{'lat': -20.44970314654579, 'lon': 166.60212172498558}",FAYAOUE,ANNEXE,null,98814,Eot-Saint-Joseph,FAYAOUE,04TBNC0320272000000000,98814,FAYAOUE,1672624564.2820528
